City,Country,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating
Lausanne,Switzerland,3.15,12.59,8.4,1.32,1714,4266.11,90.77,65.85,87.62,73.21,35.55
Geneva,Switzerland,2.8,12.94,10.49,1.28,2607.95,3917.72,61.22,74.88,29.43,82.76,54.36
Basel,Switzerland,3.5,11.89,7.35,1.25,1649.29,3847.76,78.17,79.74,59.18,88.27,28.12
Perth,Australia,2.87,11.43,10.08,0.97,2083.14,3358.55,62.11,80.56,23.53,74.62,50.01
Nashville,United States,3.84,12,13.5,0.65,2257.14,3089.75,80.3,60.3,0,80.5,25.5
Canberra,Australia,2.35,11.42,10.08,0.99,1984.74,3023.91,63.26,91.9,11.48,93.05,40.36
Bergen,Norway,3.92,12.32,12.32,1.57,1725.37,3002.59,51.24,84.95,18.4,83.76,16.67
Luxembourg,Luxembourg,2.13,7.25,4.26,1.15,1704.96,2983.69,76.44,59.72,57.17,81.41,18.75
Stavanger,Norway,4.48,10.65,13.44,1.68,2240.74,2957.77,46.59,62.48,29.13,76.5,20.83
Adelaide,Australia,2.49,11.42,10.08,0.95,1382.26,2911.69,72.03,56.25,12.01,91.54,41.32
Ottawa,Canada,2.39,7.65,9.56,0.8,1020.02,2900.68,91.85,66.02,33.55,86.11,22.25
Trondheim,Norway,3.81,12.32,13.44,1.57,1680.55,2800.92,51.22,81.67,14.53,82.67,19.8
Oslo,Norway,3.36,11.2,12.32,1.57,2016.66,2800.92,52.51,88.19,29.39,71.27,35.53
Doha,Qatar,2.78,6.28,14.32,0.18,2221.74,2775.58,81.96,68.06,83.45,80.28,27.17
Sydney,Australia,2.35,12.1,10.75,1,2788.71,2755.12,54.82,71.27,18.48,74.32,32.8
Cambridge,United Kingdom,1.99,8.22,7.97,1.39,1345.2,2730.26,54.76,81.48,57.18,70.61,24.22
Gold Coast,Australia,2.69,10.08,8.06,0.98,1310.36,2687.92,56.11,82.23,30.55,81.31,43.02
Melbourne,Australia,2.35,12.1,10.08,0.95,2073.06,2623.41,55.48,76.67,30.28,68.99,48.75
Brisbane,Australia,2.69,10.08,10.08,0.99,2351.93,2603.92,53.72,88.89,22.19,77.07,45.84
New York,United States,2.58,8.5,9.81,0.69,3268.84,2530.09,55.56,51.39,12.01,61.94,47.33
Boston,United States,2.62,7.85,7.85,0.65,2288.19,2451.63,59.28,78.04,61.77,82.81,40.69
Darwin,Australia,3.36,10.08,10.08,1.04,2015.94,2435.93,49.51,75.28,6.78,78.52,32.8
Newark,United States,2.45,7.19,10.46,0.67,980.65,2402.6,84.39,79.72,62.14,73.21,30.21
The Hague,Netherlands,2.26,8.1,4.05,1.52,1363.97,2386.95,68.28,66.74,37.21,79.99,29.76
Seattle,United States,2.45,7.11,7.52,0.66,1634.42,2373.83,78.46,75.46,32.9,84.1,42.03
Dubai,United Arab Emirates,2.62,6.23,12.77,0.31,1981.57,2313.91,69.64,67.78,30.81,85.16,19.36
Gothenburg,Sweden,3.3,10.76,8.01,1.44,1001.25,2302.88,26.95,68.24,92.42,71.51,25.62
Atlanta,United States,2.21,6.37,6.53,0.61,1046.03,2288.19,80.83,61.11,63.09,80.51,56.04
Baltimore,United States,2.12,6.54,8.17,0.65,1372.91,2284.92,78.78,72.08,77.98,82,58.85
Calgary,Canada,2.55,8.29,9.56,0.74,1115.65,2231.29,63.9,75.33,23.53,87.57,29.53
Hong Kong,Hong Kong,2.78,5.89,10.1,1.52,5052.31,2210.39,50.07,67.59,14.88,59.5,16.31
Honolulu,United States,2.62,6.54,7.85,0.74,1830.55,2204.51,58.54,57.03,30.28,79.58,44.14
Edmonton,Canada,2.55,8.29,11.16,0.69,1147.52,2199.42,67.19,78.83,22.79,89.58,31.14
Las Vegas,United States,2.12,7.85,7.85,0.65,604.74,2158.09,80.46,66.52,59.73,60.5,70.57
Auckland,New Zealand,2.2,8.82,8.27,1.18,1432.98,2149.47,49.02,71.85,30.03,66.98,50.38
Saint Louis,Senegal,1.96,6.54,6.54,0.61,980.65,2144.36,80.4,77.29,31.33,87.51,78.13
Abu Dhabi,United Arab Emirates,2.67,6.23,13.73,0.3,1779.93,2135.92,68.03,48.02,53.42,80.8,10.86
Houston,United States,2.29,6.54,6.53,0.63,1340.23,2124.75,71.96,79.44,65.21,74.08,61.72
Dallas,United States,2.62,6.54,6.54,0.59,1405.6,2116.9,76.18,69.99,83.89,80.56,59.9
Chicago,United States,2.45,7.85,7.85,0.71,1634.42,2111.35,66.77,62.92,22.98,80.71,54.52
Austin,United States,2.29,5.56,7.85,0.61,1372.91,2105.14,69.22,73.61,28.84,86.51,42.5
Dresden,Germany,2.13,6.82,3.84,1.33,1193.48,2088.58,82.6,78.29,16.89,90.21,15.34
Los Angeles,United States,2.62,7.52,7.85,0.69,1732.49,2085.69,62.75,68.61,75.2,62.82,65.74
Charlotte,United States,2.15,5.23,7.19,0.6,915.28,2073.1,77.18,72.08,67.05,84.39,30.21
Tokyo,Japan,2.3,11.8,8.52,0.98,1967.31,2065.67,47.57,71.53,30.54,69.29,13.91
Indianapolis,United States,2.6,5.56,5.88,0.65,817.21,2056.76,80.72,36.66,82.08,77.13,30.21
Paris,France,2.56,8.95,5.11,1.32,2131.21,2045.96,47.08,83.33,59.18,52.62,53.75
Munich,Germany,2.3,7.67,5.11,1.36,1278.72,2045.96,63.28,88.43,43.08,90.08,15.34
Orlando,United States,1.96,5.88,7.52,0.66,1176.78,2013.61,71.07,76.01,70.75,82.33,55.07
Toulouse,France,1.92,7.25,4.26,1.28,1022.98,2011.86,54.47,81.01,36.23,66.66,47.27
Stockholm,Sweden,3,11.01,7.91,1.46,1501.88,2002.51,51.03,82.5,13.93,78.58,25.62
Copenhagen,Denmark,3.66,9.15,5.72,1.4,1658.01,2001.04,49.33,85.14,30.54,75.23,32.39
London,United Kingdom,2.49,11.26,6.98,1.4,2590.76,1992.89,53.17,69.53,57.95,47.89,50.14
Edinburgh,United Kingdom,2.09,7.97,6.73,1.35,996.45,1992.89,58.77,60.64,13.94,75.03,30.51
Leeds,United Kingdom,1.99,7.6,6.33,1.38,797.16,1992.89,63.88,81.48,18.48,78.06,28.91
Helsinki,Finland,2.57,10.23,8.52,1.43,1534.47,1960.71,54.41,74.35,29.14,75.85,40.96
Stuttgart,Germany,2.13,6.82,4.26,1.32,980.35,1943.66,65.82,80.38,16.89,90.4,23.96
New Orleans,United States,2.04,7.85,9.81,0.65,1242.16,1920.77,66.32,65.83,14.76,81.2,42.19
Dublin,Ireland,2.39,8.31,8.52,1.39,1278.72,1918.09,50.13,41.12,30.54,65.27,48.31
Regina,Canada,2.65,7.65,9.56,0.8,956.27,1912.54,60.8,60.24,84.07,79.98,41.56
Toronto,Canada,2.23,8.29,9.5,0.83,1593.78,1912.54,61.44,66.11,8.95,77.02,27.4
Detroit,United States,1.96,5.56,7.85,0.67,632.19,1895.93,73.81,63.05,83.45,50.99,76.69
Brussels,Belgium,2.13,7.67,5.11,1.36,1193.48,1875.46,54.41,81.35,6.79,65.42,53.79
Venice,Italy,1.28,6.82,3.41,1.4,1278.72,1875.46,45.69,72.67,11.48,70.34,21.48
Leicester,United Kingdom,2.49,7.22,5.27,1.43,787.19,1793.6,71.88,60.64,18.04,76.19,24.22
Nottingham,United Kingdom,2.49,7.97,4.98,1.37,797.16,1793.6,53.57,79.63,24.54,75.88,44.38
Strasbourg,France,2.13,7.25,4.26,1.32,937.73,1790.21,72.23,42.81,39.91,66.5,47.27
Montreal,Canada,1.91,7.65,9.56,0.89,956.27,1785.03,66.99,66.77,6.27,78.55,31.63
Berlin,Germany,1.88,6.82,3.84,1.36,916.42,1772.57,68.72,65.48,16.05,91.17,24.18
Wellington,New Zealand,2.2,8.82,8.27,1.17,1515.65,1763.67,49.11,73.72,30.55,79.83,27.38
Amsterdam,Netherlands,2.09,8.52,4.26,1.45,1513.16,1747.59,47.18,68.06,53.42,72.85,29.76
Hamburg,Germany,1.83,9.38,3.41,1.36,1534.47,1747.59,61.13,82.41,67.78,87.18,25.52
Aberdeen,United Kingdom,1.99,6.98,5.98,1.37,1195.74,1743.78,49.7,82.86,34.31,76.77,24.22
Lyon,France,2.13,7.67,4.69,1.19,895.11,1704.96,56.05,88.65,37.21,71.13,47.27
Rotterdam,Netherlands,2.09,8.1,3.84,1.46,1278.72,1704.96,50.9,63.26,20.36,67.77,74.27
Cologne,Germany,1.92,7.25,3.62,1.32,980.35,1704.96,59.18,67.88,68.41,82.82,27.08
Oxford,United Kingdom,2.49,7.97,7.97,1.36,1494.67,1693.96,50.33,66.2,11.48,72.09,24.22
Vancouver,Canada,2.55,7.97,12.75,0.89,1848.79,1657.53,48.06,83.73,18.48,71.89,30.03
Victoria,Canada,2.39,7.65,9.56,0.83,1083.77,1657.53,52.91,79.63,68.93,80.87,42.45
Glasgow,United Kingdom,2.52,9,6,1.07,1126.75,1654.76,85,90.55,0,80,60
Cork,Ireland,2.13,7.08,8.52,1.36,1022.98,1633.36,47.98,64.32,18.48,76.37,35.83
Nice,France,2.13,8.1,5.11,1.3,1278.72,1624.66,49.52,87.95,59.19,68.34,47.27
Vienna,Austria,2.13,7.67,4.26,1.25,1248.9,1619.72,51.21,79.86,22.39,77.21,27.45
Aachen,Germany,2.05,6.88,4.26,1.33,767.23,1619.72,60.55,73.25,11.69,90.52,15.34
Utrecht,Netherlands,2.13,6.82,4.26,1.45,1193.48,1611.19,49.87,70.9,18.27,72.61,29.76
Muscat,Oman,1.7,5.1,5.46,0.2,1061.97,1609.09,77.16,62.5,64.65,58.99,50
Brighton,United Kingdom,2.49,14.95,4.97,1.37,1295.38,1594.31,50.56,58.33,50.25,62.62,33.12
Hamilton,New Zealand,1.91,7.01,8.29,0.8,605.64,1593.78,56.52,86.67,81.68,84.83,35.68
Singapore,Singapore,2.64,5.27,15.82,1.11,3164.42,1582.21,33.14,58.82,18.48,42.65,19.96
Birmingham,United Kingdom,2.29,6.98,4.98,1.37,996.45,1554.46,46.41,75.23,66.53,75.4,47.51
Liverpool,United Kingdom,1.99,7.67,5.98,1.35,896.8,1534.47,53.78,82.86,55.35,83.14,28.7
Bristol,United Kingdom,2.49,8.22,6.98,1.36,1619.23,1507.13,39.76,88.89,36.22,67.91,42.71
Belfast,United Kingdom,2.19,5.98,6.22,1.39,807.12,1494.67,52.8,33.33,29.24,80.55,34.06
Milan,Italy,1.19,6.82,4.26,1.53,1704.96,1491.84,43.43,71.36,22.09,40.8,56.2
Christchurch,New Zealand,2.48,8.82,7.72,1.18,881.83,1460.54,47.1,83.86,22.2,76.6,51.3
Seoul,South Korea,2.59,5.25,11.67,1.17,1458.2,1458.2,54.3,75,85.59,60.28,21.35
Manchester,United Kingdom,2.4,8,6,1.15,1200,1388.55,62.31,61.42,0,73,24.2
Fortaleza,Brazil,1.46,5.2,5.85,0.88,650.26,1307.54,52.28,45.46,66.32,36.68,78.65
Madrid,Spain,1.7,6.82,3.92,1.24,1193.48,1278.72,54.07,73.51,55.77,59.87,39.34
Florence,Italy,1.02,6.82,4.26,1.53,1278.72,1278.72,35.31,67.11,29.44,53.73,39.58
Rome,Italy,1.02,6.82,4.26,1.53,2131.21,1270.2,32.72,61.64,19.84,26.8,62.34
Marseille,France,1.7,8.44,4.26,1.32,1022.98,1236.1,57.05,77.53,25.59,59.87,47.27
Cape Town,South Africa,1.27,3.18,3.53,0.82,811.48,1199.58,60.36,71.67,75.98,78.73,68.06
Haifa,Israel,2.16,6.75,8.1,1.37,719.73,1196.51,44.03,72.69,29.86,52.08,46.59
Barcelona,Spain,1.32,6.82,4.26,1.24,937.73,1193.48,45.68,58.47,71.75,47.18,41.47
Valencia,Spain,1.28,6.82,4.26,1.24,596.74,1193.48,49.11,72.07,35.24,64.89,26.04
Manama,Bahrain,2.6,5.2,19.61,0.17,1078.72,1176.78,40.26,72.22,17.06,63.85,19.79
Johannesburg,South Africa,1.16,3.46,3.53,0.84,705.63,1167.89,53.99,59.98,47.39,51.26,83.93
Jerusalem,Israel,2.52,6.84,6.3,1.43,810.35,1080.46,37.22,79.4,64.44,50.87,46.59
Nicosia,Cyprus,3.41,6.82,4.69,1.2,639.36,1065.6,39.03,72.04,6.27,57.58,38.22
Naples,Italy,1.02,6.39,4.26,1.53,1044.29,1022.98,35.38,41.67,12.01,42.92,56.67
Pretoria,South Africa,1.06,3.63,3.25,0.84,377.8,952.6,46.74,71.11,70.13,61.44,68.06
Taipei,Taiwan,1.75,6.01,8.14,0.77,784.52,942.66,38.19,88.89,87.62,52.35,15.71
Limassol,Cyprus,2.98,6.82,4.26,1.15,618.05,937.73,40.13,77.6,26.74,74.83,23.75
Moscow,Russia,3.1,7.24,7.03,0.62,2067.19,930.24,24.94,42.3,30.03,18.65,53.19
Alicante,Spain,1.28,6.01,4.03,1.19,511.49,852.48,44.69,75.61,28.19,72.53,44.01
Ljubljana,Slovenia,1.28,4.69,4.26,1.27,767.23,809.86,32.28,71.76,85.59,61.87,32.94
Curitiba,Brazil,1.54,5.2,8.05,0.87,861.59,796.57,34.97,59.03,33.59,58.67,46.27
Lisbon,Portugal,1.02,5.11,2.98,1.38,822.65,767.23,32.48,62.38,28.78,56.08,40.08
Prague,Czech Republic,1.32,5.08,3.29,1.18,821.94,723.3,35.32,64.15,41.53,58.85,34.54
Kuala Lumpur,Malaysia,1.72,2.57,10.72,0.41,857.82,702.18,37.09,56.21,69.65,42.4,68.91
Athens,Greece,2.98,6.82,5.97,1.45,468.87,681.99,26.05,46.11,27.44,30.57,57.49
Bratislava,Slovakia,1.45,5.11,4.26,1.28,852.48,681.99,29.29,59.72,30.55,56.18,34.38
Porto,Portugal,0.68,4.26,3.41,1.37,596.74,664.94,31.28,61.51,67.64,58.95,37.51
Warsaw,Poland,1.66,5.19,5.19,1.18,726.59,664.31,35.77,63.33,86.16,51.82,32.03
Buenos Aires,Argentina,2.08,5.48,3.94,0.89,590.75,657.33,29.29,79.17,47.26,39.78,59.46
Saint Petersburg,Russia,2.07,6.2,6.2,0.62,1033.6,620.16,24.82,46.34,77.98,25.97,56.96
Santiago,Chile,1.64,5.34,4.11,1.09,547.6,616.05,29.96,66.11,92.42,39.13,42.33
Zagreb,Croatia,1.12,3.7,4.48,1.23,504.36,605.23,26.71,52.78,83.45,47.59,32.29
Noida,India,0.97,3.02,6.34,0.78,301.69,603.39,57.88,56.34,89.1,42.7,75
Beijing,China,2.64,8.46,10.36,0.86,1586.25,600.13,22.97,58.9,57.18,25.69,47.61
Thessaloniki,Greece,2.98,6.82,5.11,1.45,468.87,596.74,24.58,61.94,34.62,43.61,41.64
Braga,Portugal,1.02,4.48,2.13,1.39,383.62,596.74,30.21,69.71,14.54,69.91,18.12
Shanghai,China,2.96,8.46,8.46,0.85,1533.38,592.2,26.74,78.7,61.74,31.66,16.51
Mexico City,Mexico,1.6,3.2,7.47,0.56,747.1,587.01,24.28,61.76,18.95,27.91,77.86
Montevideo,Uruguay,2.13,6.06,5.23,1.24,653.77,585.12,21.56,59.72,31.72,44.63,50.16
Santo Domingo,Dominican Republic,0.8,3.27,5,1.01,437.44,556.74,28.82,62.5,18.59,41.88,62.19
Gaborone,Botswana,1.19,2.58,3.53,0.71,395.15,529.22,30.98,27.78,30.55,31.77,50
Caracas,Venezuela,1.8,9.12,11.97,0.07,1634.42,527.89,11.25,44.44,83.45,8.61,85.7
Gurgaon,India,0.97,3.02,6.64,0.83,398.24,470.64,37.08,77.18,27.78,42.77,65.51
Vilnius,Lithuania,1.23,4.44,4.44,1.19,493.78,457.29,24.17,77.31,82.08,64.19,27.93
Bangkok,Thailand,1.37,4.1,13.68,0.91,1139.76,455.91,20.82,95.96,60.39,37.54,36.1
Belo Horizonte,Brazil,1.38,5.69,8.13,0.9,764.05,455.69,21.77,57.26,59.73,36.26,50.99
Amman,Jordan,2.55,6.54,12.79,0.83,460.92,441.94,21.22,75.37,61.63,39.57,46.74
Bangalore,India,0.72,3.02,4.83,0.91,362.03,422.37,38.67,69.38,80.94,52.11,51.03
Budapest,Hungary,1,4.27,2.85,1.2,341.97,414.64,24.59,60.42,68.38,46.58,34.18
Tehran,Iran,1.96,2.62,26.15,0.37,980.65,392.26,18.09,43.98,87.62,14.33,54.16
Lima,Peru,1.65,3.79,6.27,1.03,784.52,392.26,23.22,53.7,58.49,22.67,65.31
Bucharest,Romania,1.37,4.89,2.94,1.17,508.98,383.17,22.85,52.05,74.57,29.45,33.41
Antalya,Turkey,1.81,3.26,5.44,1.62,217.45,362.42,22.91,59.55,30.55,40.51,44.53
Pune,India,0.84,2.41,5.43,0.89,301.69,362.03,37.96,66.62,79.24,43.84,41.37
Delhi,India,0.84,2.41,7.24,0.84,362.03,362.03,34.39,74.99,73.03,42.45,52.56
Kiev,Ukraine,1.31,4.17,3.92,0.92,980.65,361.3,18.88,36.48,67.36,24.05,54.19
Belgrade,Serbia,1.1,2.98,3.02,1.17,426.24,359.9,21.46,52.53,77.08,35.69,37.97
Sofia,Bulgaria,0.87,3.93,3.06,1.11,349.35,353.72,23.03,51.43,26.63,37.72,48.26
Lagos,Nigeria,2.62,6.54,7.85,0.4,1193.13,350.79,14.91,62.04,26.63,19.48,60.44
Baku,Azerbaijan,2.53,5.48,7.59,0.51,1278.72,340.99,11.38,28.7,49.47,17.2,36.69
Mumbai,India,0.84,3.02,6.03,0.89,603.39,337.9,28.83,58.41,70.49,26.43,34.63
Jakarta,Indonesia,1.88,3.37,16.83,0.45,807.7,336.54,17.38,38.33,57.91,15.66,48.27
Ulaanbaatar,Mongolia,1.75,3.27,6.54,0.78,1307.54,326.88,15.35,43.06,55.87,24.5,46.87
Colombo,Sri Lanka,1.54,2.35,11.16,0.83,713.9,326.88,20.18,75,33.59,26.68,50
Bogota,Colombia,1.25,4.27,7.48,0.8,426.95,326.88,14.52,73.89,14.54,29.33,46.02
Nairobi,Kenya,1.36,3.92,7.21,0.94,632.15,323.49,15.82,61.34,39.16,14.36,71.88
Vadodara,India,0.72,2.17,6.03,0.84,120.68,307.73,36.37,77.87,92.42,54.98,32.03
Porto Alegre,Brazil,1.14,5.2,4.71,0.89,487.69,306.89,19.07,51.01,86.16,31.87,76.46
Ahmedabad,India,0.72,2.11,4.22,0.85,193.08,301.69,33.69,61.67,68.21,57.01,18.18
Hyderabad,India,0.72,1.81,4.83,0.91,241.35,301.69,39.93,63.89,89.72,54.97,36.9
Chennai,India,0.66,1.81,4.83,0.87,301.69,301.69,32.91,67.49,78.07,43.89,33.22
Dhaka,Bangladesh,1.31,2.09,9.17,0.77,312.91,295.54,21.32,20.83,62.14,13.48,59.06
Minsk,Belarus,1.31,2.12,4.25,0.56,491.12,294.2,16.14,50,66.89,51.66,26.82
Tirana,Albania,0.85,3.12,4.26,1.27,426.24,285.76,17.8,44.44,80.84,36.81,47.99
Varna,Bulgaria,0.83,3.93,3.06,1.09,305.68,283.85,20.34,50.23,80.84,36.03,36.46
Kolkata,India,0.84,2.41,4.83,0.87,241.35,271.52,28.8,31.29,72.59,25.64,43.33
Kochi,India,0.6,1.81,3.62,0.84,181.02,271.52,28.98,70.23,71.78,45.13,16.93
Kharkiv,Ukraine,1,3.21,3.27,0.88,523.02,255.74,17.11,35.06,67.05,30.76,53.75
Casablanca,Morocco,1.7,3.94,3.45,0.85,997.08,230.09,13.2,53.7,62.97,48.69,38.28
Chiang Mai,Thailand,1.05,3.53,11.4,0.82,426.24,227.95,15.89,85.91,30.55,37.5,37.78
Manila,Philippines,1.58,2.77,4.75,0.86,791.68,221.67,14.8,80.56,65.22,13.14,66.36
Quito,Ecuador,1.22,2.94,6.54,0.29,310.54,196.13,14.24,32.41,14.76,46.43,48.36
Hanoi,Vietnam,1.31,2.66,8.17,0.81,718.36,172.25,12.22,20.83,24.02,5.29,51.81
Cairo,Egypt,1.42,3.27,7.33,0.19,425.85,163.44,11.9,56.48,86.16,17.25,48.81
Karachi,Pakistan,1,3.27,5.11,0.67,197.78,139.6,14.63,51.57,69.63,18.5,74.36
Lahore,Pakistan,1.23,3.27,6.54,0.66,206.08,132.95,12.45,48.94,30.55,28.52,51.98
Addis Ababa,Ethiopia,0.46,2.29,4.18,0.72,653.77,124.22,6.38,63.89,85.59,28.41,26.04
Indore,India,0.91,2.23,6.03,0.84,205.15,120.68,35.79,31.34,59.42,48.53,16.93
